英文|中文
Would you like to launch System Preferences so that you can enable \"TimingHelper.app\" in the Accessibility list?|Would you like to launch System Preferences so that you can enable \"TimingHelper.app\" in the Accessibility list?
Delete Project|删除项目
Do you really wish to irrevocably delete this project?|Do you really wish to irrevocably delete this project?
Open in Browser|在浏览器中打开
Path|路径
Projects|项目
The corresponding activities will not be deleted.|The corresponding activities will not be deleted.
Continue with trial|继续试用
Do you really wish to irrevocably delete this project and all associated sub-projects?|Do you really wish to irrevocably delete this project and all associated sub-projects?
Mac App Store|Mac App Store
Pause Tracking For …|暂停追踪…
Paused for the next %@|在接下来的%@内暂停追踪
Please note that the trial version's export capability is limited to ten entries.|Please note that the trial version's export capability is limited to ten entries.
Thank you for trying out Timing!\nThis trial version can be used until %@.|Thank you for trying out Timing!\nThis trial version can be used until %@.
Thank you for trying out Timing!\nThis trial version has expired.\nYou can continue to review the data tracked up to %@.|Thank you for trying out Timing!\nThis trial version has expired.\nYou can continue to review the data tracked up to %@.
%@ %@ (%@) support request|%@ %@ (%@) 支持请求
Buy|购买
If you find Timing useful, please consider buying the full version.\n\nStill undecided? Contact us if you need need help or have any questions.|If you find Timing useful, please consider buying the full version.\n\nStill undecided? Contact us if you need need help or have any questions.
Licensed To: %@\n\n|注册给: %@\n\n
Registration failed|注册失败
Support|支持
Thank you for purchasing Timing!|感谢您购买Timing!
You can now use the app's full functionality.|您现在可以使用应用程序的全部功能。
Your license could not be validated.|无法验证您的许可证。
(Unknown)|(未知)
Edit Project|编辑项目
Text Cell|文本框
Remove selected application|移除选中的应用程序
Applications in this project:|在此项目中的应用程序:
Remove selected path|移除选中的路径
Paths in this project:|在此项目中的路径:
Done|完成
Project color:|项目颜色:
Window|窗口
General|通用
Advanced|高级
Helper Application:|帮助程序:
Launch automatically at login|登录时自动启动
Support for tracking document paths|对追踪文档路径的支持
In order to track the paths of most documents, you need to allow TimingHelper to use the Accessibility system by ticking the corresponding checkbox in the Security preferences.|In order to track the paths of most documents, you need to allow TimingHelper to use the Accessibility system by ticking the corresponding checkbox in the Security preferences.
Advanced Terminal support|高级终端支持
In order to track the working directory of your Terminal windows, Timing needs you to modify your Bash settings (.profile).|In order to track the working directory of your Terminal windows, Timing needs you to modify your Bash settings (.profile).
Suspend tracking after being idle for at least|暂停跟踪，在至少空闲
seconds.|秒后。
Quit when exiting Timing|当Timing已运行时退出
Maximum URL tracking level:|URL最多追踪层级:
Check automatically|自动检查更新
Updates|更新
Updates:|更新:
Check now|现在检查
Activity|活动
Timing|Timing
Time threshold for display|显示时间阈值
Label|标签
Grouping|分类
Per App|按应用程序
Per Hour|按小时
By Project|按项目
No Data Yet|尚无数据
Please adjust your filter settings or wait until Timing has tracked more activities.\n\nTip: Add activities to a project in the sidebar via drag-and-drop.|Please adjust your filter settings or wait until Timing has tracked more activities.\n\nTip: Add activities to a project in the sidebar via drag-and-drop.
Please enter your license information below.|请在下面输入您的许可证信息。
License|许可证
Licensed To|许可给
Register|注册
License Key|许可密钥
Graph Type|图像类型
Export|导出
Exclude entries no longer than|排除条目，如果它们不超过
seconds|秒
Separator:|分隔符:
Raw|原始
OtherViews|其他视图
Month|月
Calendar Week|日历周
Year|年
Grouped|已分类
Export Mode:|导出模式:
None|无
Date Grouping:|按日期分类:
Export Format:|导出格式:
Entity Grouping:|按实体分类:
Application + Path|应用程序+路径
Day|天
Duration Format:|持续时间格式:
Raw (Seconds only)|原始(仅秒)
Date scope|日期范围
Date Filter:|日期筛选:
Last Day:|最后一天:
First Day:|第一天:
Week|周
Custom|自定义
Add Activity:|添加活动:
Activity Type:|添加类型:
Start Date:|开始日期:
What did you do?|你做了什么?
Discard|放弃
Quit Timing Menu Item|退出Timing菜单项
Show Tracking Results|显示追踪结果
Total Time Spent Today|今天花费的全部时间
Add Custom Activity…|添加自定义活动…
Ask for Activity after Being Idle|在空闲之后询问活动
10 minutes|10分钟
30 minutes|30分钟
1 hour|1小时
2 hours|2小时
6 hours|6小时
12 hours|12小时
1 day|1天
5 minutes|5分钟
Toggle Pause|切换到暂停
Bring All to Front|全部调到前面
Minimize|最小化
Main Menu|主菜单
About Timing|关于Timing
Close|关闭
Page Setup...|页面设置...
Print…|打印…
File|文件
New Project…|新建项目…
Help|帮助
Timing Help|Timing帮助
Preferences…|偏好设置…
Services|服务
Hide Timing|隐藏Timing
Quit Timing|退出Timing
Hide Others|隐藏其他
Show All|显示所有
Zoom|缩放
Undo|撤销
Redo|重做
Cut|剪切
Copy|拷贝
Paste|粘贴
Select All|全选
Launch Menu Item|启动菜单项
Delete Selected Project|删除选中项目
Edit Selected Project…|编辑选中项目…
Toggle Quick Look|切换到快速预览
Reveal Selection in Finder…|在Finder中显示选中项…
Rename Selected Project…|重命名选中项目…
Delete Selected Activities|删除选中活动
First Steps with Timing|认识Timing的第一步
Send Support Request…|发送技术支持请求…
Open Timing Homepage|打开Timing主页
Timing on the Mac App Store|在Mac应用程序商店中查看Timing
Export…|导出…
Buy Timing…|购买Timing…
Register…|注册…
Open Selection in Browser…|在浏览器中打开选中项…
Check for Updates…|检查更新…
Jump to Today|转至今天
Edit Project \"%@\|编辑项目\"%@\"
Remove from \"%@\|从\"%@\"移除
Table of Contents|内容目录
Center body text of HTML table of contents|将 HTML 目录内容居中
Use flat list of contents in navigation controls (NCX)|在导航控件中使用扁平列表目录 (NCX)
HTML table of contents title:|HTML 目录表标题:
Convert em-dashes to double hyphens|转换破折号为双横线
Export...|导出...
Include revision colors from Preferences|包括偏好设置中的修订颜色
Script Notes|剧本笔记
Fonts|字体
Script notes font:|剧本笔记字体:
Summaries font:|概要字体:
Include comments and annotations as script notes|包括批注和注释作为剧本笔记
Include footnotes as script notes|包括脚注作为剧本笔记
Options|%@ %@ (%@)
Use default Final Draft screenplay elements|使用默认的剧本终稿元素
Break dialogue and action at sentences|断开句子中的对话和动作
Empty line|空白行
Single return|单回车
Page break|分页符
If this is ticked, the selected font face will be used throughout the compiled document, overriding the font settings in the Formatting, Footnotes &amp; Comments and Page Settings areas.|如果勾选,所选择的字体将应用到整个编译文档中,覆盖格式中的字体设置,脚注/批注和页面设置区域.
Override all fonts with face:|覆盖所有字体为:
Note that for this format, footnotes will become endnotes when compiled.|注意，此格式在编译时脚注会成为尾注.
Inline annotation enclosing markers:|内部注释封闭标记:
Reduce marker font size|减少标记字体大小
before page breaks|在分页符之前
before last page break|在最后的分页符之前
at &lt;$--ENDNOTES--&gt; marker|位于 &lt;$--ENDNOTES--&gt; 标记
Indent footnotes to match text|缩进脚注以匹配文本
Add separator between text and footnotes|添加分隔符到文本和脚注之间
Group footnotes:|群组脚注:
Footnote format:|脚注格式:
Footnotes|脚注
Remove footnotes|移除脚注
Remove inspector comments|移除检查器批注
Comments and Annotations|批注和注释
Convert to HTML-styled text|转换为 HTML样式文本
Use period and space style in endnote markers|在尾注标记中使用点和空格的样式
Override font:|覆盖字体:
Remove inline annotations|移除行内注释
Formatting Warning|格式警告
Continue|继续
Do not show again|不要再次显示
Error|错误
Scrivener uses the basic system-provided OS X exporters for Word and .odt formats. These exporters strip indents, tabs, line spacing, images, footnotes and comments. If you are exporting for use with Microsoft Word or OpenOffice, it is strongly recommended that you choose the RTF file format instead, which will retain all formatting and is fully supported by all versions of Word and OpenOffice.|Scrivener 使用 OS X 系统提供的接口输出Word和odt格式. 这会导致缩进,制表位,行间距,图像,脚注和批注的丢失.如果你是输出使用Microsoft Word或OpenOffice,强烈建议你选择RTF格式,它将保留所有格式并完全支持所有版本的Word和OpenOffice.
Not all text formatting is supported for this file format.|不是所有的文本格式支持这个格式.
Original|原始
Novel|小说
Short Story|短篇小说
Outline|提纲
Script (Final Draft)|剧本 (终稿)
Script (CeltX)|剧本 (CeltX)
Screenplay|电影剧本
Comic Script|漫画剧本
Stageplay (UK)|话剧 (UK)
Stageplay (US)|话剧 (US)
Manage Compile Format Presets...|管理预设的编译格式...
Include in RTF bookmarks|包括到 RTF 书签中
Section Layout...|章节布局...
Section Type|章节类型
Meta-Data|元数据
Synopsis|摘要
Notes|笔记
Text|文本
Options...|选项...
Override text and notes formatting|覆盖文本和笔记格式
Sections and Synopses|章节和摘要
Include document synopses as scene synopses|包括文档摘要作为场景摘要
Section headers use binder indenting levels|章节页眉使用文件栏的缩进级别
Include document titles as section headers|包括文档标题作为章节页眉
Title Page Meta-Data|标题页元数据
Header:|页眉:
&lt;$p&gt; for pg no.|&lt;$p&gt; 作为页码.
Footer:|页脚:
No header on first page and pages following page breaks|分页符后的第一个页面不添加页眉
No header or footer on single pages|单页上不添加页眉和页脚
Header and Footer|页眉和页脚
Automatic|自动
Start regular header and footer on:|开始正常的页眉和页脚从:
First Pages|首页
No header or footer on first page|首页没有页眉和页脚
Page numbers count first page|首页页码计数
First Page|首页
Use facing pages (alternating margins, headers and footers)|使用对开页 (对称页边距,页眉和页脚)
Verso header and footer:|左页页眉页脚:
Facing Pages|对开页
(Inspector comments will become linked notes at the end of the text.)|(检查器中的批注将成为文本最后带链接的笔记.)
Endnotes page title:|尾注页标题:
Group endnotes by section with subheadings|按章节子标题群组尾注
Treat "Preserve Formatting" blocks as raw HTML|将"保留格式"块视为原始 HTML
Use centered column to restrict body text width|使用居中的栏限制正文宽度
Body text width:|正文文本宽度:
Convert Scrivener links to HTML links|转换 Scrivener 链接为 HTML 链接
Links|链接
Underline links|链接带下划线
To export to the Kindle format, you need to install KindleGen, a free tool from Amazon. To do so, follow the link below and download and install KindleGen to your hard drive. Once KindleGen is installed, click on "Choose..." to tell Scrivener where it is located.|若要导出 Kindle 格式首先需要安装 KindleGen,作为免费工具你可以从亚马逊网站获取.请单击下面的链接下载 KindleGen 并安装到您的硬盘上.安装完成后,请单击‘选择...’让Scrivener知道它所在的位置.
Save the KindleGen log file with the exported Kindle file|导出 Kindle 文件的同时保存 KindleGen 日志文件
KindleGen Path|KindleGen 路径
Choose...|选择...
- KindeGen not installed -|- KindeGen 没有安装 -
Save the source files in a folder with the exported Kindle file|导出 Kindle 文件时保存源文件到文件夹
(Note that KindleGen only works on Intel machines running 10.5 and above.)|(注意 KindleGen 仅能工作在基于Intel 且系统在 10.5 及其以上的机器.)
Document class and other header material:|文档类别和其他页眉材料:
Header|页眉
All preamble material after meta-data:|元数据之后的全部前言材料:
Begin Document|文档开始
Inserted at the bottom of the compiled document:|插入到编译文档底部:
Footer|页脚
None / Use Meta-Data|没有 / 使用元数据
Article|文章
Memoir (Book)|传记 (书籍)
Manuscript|手稿
LaTeX document class:|LaTeX 文档类别:
LaTeX Options|LaTeX 选项
Number of columns:|分栏数:
Start columns:|开始分栏:
Columns|分栏
Space between columns:|分栏间隔:
Use columns|使用分栏
On first page|在首页
After first document|首页之后
After front matter|前置内容之后
Empty Lines Across Page Breaks|跨分页的空行
Replace empty line separators that fall across pages|替换跨到下一页的空行分隔符
Separator to use at page top or bottom:|页面顶部或底部使用的分隔符:
This separator is only used when two paragraphs of text are separated by an empty line, and page layout has resulted in the empty line falling at the top or bottom of the page. (The separator must be fewer than 10 characters and should not contain line breaks.)|这个分隔符仅用于当两个段落是用空行分隔,由于页面布局导致空行下降到页面的顶部或者底部.(分隔符必须少于10个字符,不应包含换行符)
View|查看
End-of-Text Marker|文本结尾标记
Use hyphenation|使用连字符
Avoid widows and orphans|避免孤行寡字
Mark end of text with:|标记文本结束于:
Manage Compile Format Presets|管理编译格式预设
Import...|导入...
Update...|更新...
Revert to Defaults|恢复到默认
Enable the compile format presets you would like to be able to use. (Opt-click checkboxes to select or deselect all.)|启用你想使用的编译格式预设.(选择点击复选框来选择或取消全部.)
Compile Settings|编译设置
Global Presets|全局预设
Project Presets|项目预设
Show PDF log file|显示 PDF 日志文件
Use XSLT post-processing|使用 XSLT 后处理
Markdown Compatibility Mode|Markdown 兼容模式
Use MultiMarkdown 2 compatibility|使用 MultiMarkdown 2 兼容性
MultiMarkdown Compatibility|MultiMarkdown 兼容性
MultiMarkdown Export Error|MultiMarkdown 导出错误
Error Parsing MultiMarkdown File|语法错误的 MultiMarkdown 文件
There was an error parsing the generated MultiMarkdown output. The file could not be created. Please check the standard error output below.|生成的MultiMarkdown输出有一个解析错误.文件不能被创建.请检查下面的标准错误输出.
If no extension is provided, use ".txt".|如果没有提供扩展名,使用 ".txt".
Place prefix inside hashes|将前缀置于语法标记里
Place suffix inside hashes|将后缀置于语法标记里
(This setting is ignored if the first document is entitled "Meta-Data".)|(忽略此设置如果第一个文档是名为元数据"Meta-Data").
Add "Format: complete" at end of meta-data|添加"格式化:完成"（Format: complete）到元数据之后
Note that if the first compiled document is entitled "Meta-Data", it will be incorporated into the end of the meta-data block generated here.|注意,如果第一个编译文件题为元数据"Meta-Data",它将被合并到最后生成的元数据块之后.
Use small caps|使用小型大写
Start next section on:|开始下一个章节在:
a recto page|右页(recto)
a verso page|左页(verso)
Summary|摘要
All Options|所有选项
Overwrite preserves other existing files|覆盖保留现有的其他文件
Overwrite preserves existing files|覆盖保留现有的文件
Page Setup|页面设置
Use project Page Setup settings|使用项目页面设置
Top:|上:
Bottom:|下:
Left:|左:
Right:|右:
Footer font:|页脚字体:
Header font:|页眉字体:
Use BBCode or **, * and _ to add bold, italics and underlines to header and footer text. Insert &lt;$p&gt; for page number and &lt;$pagecount&gt; for total pages.|使用 BBCode 或 **, * 和 _ 添加粗体, 斜体和下划线到页眉和页脚文本. 插入 &lt;$p&gt;  显示页码 和 &lt;$pagecount&gt; 显示总页数.
Margins:|页边空白:
(The selected fonts must also occur in the body text.)|(选定的字体必须也存在于正文中).
Underline internal links|下划线内部链接
Internal link color:|内部链接颜色:
PDF Settings|PDF 设置
Color internal links|使用内部链接颜色
Generate PDF outline|生成 PDF 大纲
Override Options|覆盖选项
Layout Options|布局选项
Insert subtitles between text elements|在文本元素间插入子标题
Place notes after main text|将笔记置于正文之后
Preview|预览
Color hyperlinks|带颜色的超链接
Underline hyperlinks|带下划线的超链接
Layout Type:|布局类型:
Scrivener can use one of two different layout types when printing or generating a PDF file. Different compilation options are available depending on which layout type you choose.|Scrivener 能使用两种不同的布局类型打印或生成PDF文件,可用的不同的编译选项取决于你选择哪种.
Links:|链接:
Proofing:|打样(Proofing):
Publishing:|出版(Publishing):
Allows all the same features as RTF and Word export, including end-of-page footnotes and columns. Allows less control over the sort of page flow that is useful for self-publishing, though. Mainly recommended for essays and theses, or for proof-reading documents with footnotes. (NOTE: "Proofing" does not support all fonts.)|允许所有导出为RTF和Word格式相同的功能，包括结束页脚注和分栏.允许更少的页面流程控制,对于自助出版很有用.不过,主要推荐用于论文和学术论文,或校对阅读文档的脚注.(注意:"打样"不能支持于所有字体)
Allows blank lines that appear at the end or start of a page to be replaced by a custom marker and more control over whether new sections appear on recto or verso pages, but doesn't support columns or end-of-page footnotes. Recommended for fiction, self-publishing or formats that do not require end-of-page footnotes.|允许末尾出现空白行或页面替换为一个自定义的标记和更好地控制新章节是否出现在左页或右页的开始处.不支持栏和结束页脚注.推荐用于小说,自出版,或者不需要结束页脚注的格式.
Publishing|出版(Publishing)
Proofing|打样(Proofing)
Progress|进度
Replace|替换
With|为
RegEx|正则表达式
Case-Sensitive|区分大小写
Whole Word|全字匹配
Copyright:|版权:
Author:|作者:
Company:|公司:
Keywords:|关键词:
Comments:|备注:
(Note that the title given here is used as the HTML title when exporting to HTML or Web Archive formats.)|(注意,当导出到 HTML 或 Web 档案格式时此处给出的标题会使用 HTML 标题,).
Background:|背景:
Always start section on:|总是开始章节在:
Margin comments|页边批注
Inline comments|行内批注
Endnotes|尾注
Enclosing Markers|封闭标记
Use period and space instead of superscript in markers|使用点和空格替代上标风格的标记方式
Footnote numbering restarts each page|每页重新开始脚注编号
Endnote format:|尾注格式:
Export to RTF as:|导出 RTF 为:
Export inline footnotes as endnotes|导出行内脚注作为尾注
Export inspector footnotes as endnotes|导出检查器中的脚注作为尾注
Although most word processors automatically color and underline links, not all do. Recommended for Microsoft Word.|尽管大多数文字处理器自动给链接加上颜色和下划线,但也有例外.推荐 Microsoft Word 选择.
Different word processors indent bullets and lists in different ways. Ticking this ensures lists appear correctly in Microsoft Word.|不同的字处理器处理项目符号缩进和列表的方式不同.勾选这个可以确保在Microsoft Word中列表的正确显示.
Footnotes and comments become regular text. Useful for word processors that do not support true footnotes.|脚注和批注变成常规文本. 对不支持RTF脚注的富文本编辑器有用.
Converts text inside tables to regular text, removing table borders. Useful for rich text editors that do not support tables.|将表中的文本转换为常规文本,删除表格的边框.对于富文本编辑器不支持表时很有用.
Strip table formatting from text|由文本中去除表格格式
Ensure hyperlinks are colored and underlined|确保超链接带有颜色和下划线
Use Word-compatible indents for bullets and numbered lists|使用兼容 Word 缩进量的项目符号和编号的列表
Flatten footnotes and comments into regular text|拼合脚注和批注到常规文本
RTF Compatibility Options|RTF 兼容性选项
The format will be saved in Scrivener's Application Support folder in the home folder.|该格式将被保存在Scrivener的应用程序支持文件夹(Application Support ).
Save Compile Settings|保存编译设置
Enter a name for this compile format:|为编译格式输入一个名称:
Scriptwriting CSS|剧本写作 CSS
Use Default|使用默认
Script formatting does not translate well to e-book formats without custom styling. Scrivener's default CSS styles should work well for most screenplays, but you can edit the CSS below if you require more control. (If you make changes, ensure that you create a &lt;p&gt; class for each scriptwriting element.)|没有自定义CSS样式剧本格式不能很好的转化到e-Book格式.Scrivener的默认CSS样式适合大多数剧本,但您也可以编辑CSS使你能获得更多的控制.(如果你做出修改,确保为每个剧本元素创建一个&lt; p &gt;类.)
Insert page break before text documents with subdocuments|文本文档的子文档之前插入分页符
Text separator:|文本分隔符:
This separator will be inserted between adjacent text documents.|分隔符将被插入到相邻的文本文档之间.
This separator will be inserted before text documents that follow folders.|分隔符将被插入到文本文档之前文件夹之后.
Folder and text separator:|文件夹和文本分隔符:
Text and folder separator:|文本和文件夹分隔符:
This separator will be inserted before folders that follow text documents.|分隔符将被插入到文件夹之前文本文档之后.
This separator will be inserted between adjacent folders.|分隔符将被插入到相邻的文件夹之间.
Folder separator:|文件夹分隔符:
Do not include front matter in word and character counts|不包括「前置内容」中的单词和字符计数
Count footnotes|计数脚注
Word and character counts include all text|单词和字符计数包括所有文本
Word and character counts include:|单词和字符计数包括:
Word- and character-count placeholders (e.g. "&lt;$wc&gt;" for word count) can be inserted anywhere in the text using the Edit &gt; Insert menu.|字数和字符占位符(例如"&lt;$wc&gt;"为单词计数)可以使用 编辑 &gt; 插入 菜单插入到文本的任何地方.
Synopses|摘要
Count comments and annotations|计数批注和注释
Main text|正文文本
Only documents matching criteria:|仅匹配条件的文档:
Do not count spaces in character count|字符计数中不计算空格
Statistics Options|统计选项
Width:|宽度:
Height:|高度:
SVG (Scalable Vector Graphics) XML can optionally be used for more professional-looking covers. Leave these fields blank if you just want to use an image for the cover or are unfamiliar with SVG.|SVG(Scalable Vector Graphics)的XML可以让封面显得更专业。如果你只是想使用图片或不熟悉SVG,保留这些字段为空.
Convert tables to images with maximum width:|表格转换为图像的最大宽度:
If ticked, "Stitch together adjacent tables" will cause any tables that are separated by only empty lines and blank space to be merged into a single table, provided they have the same number of columns. For consistency, the merged table will use the column widths of the first table throughout.|如果勾选,"拼合相邻表"将导致相距只有空行和空格的任何表合并成一个单一的表,只要它们有相同数量的列.为了一致性,合并后的表将使用第一个表的列宽贯穿.
Advanced Table Options|高级表格选项
Restrict width of stitched-together tables to page width|按页面宽度限制拼合到一起的表格宽度
Insert blank row between stitched-together tables|插入空白行到拼合的两个表之间
Stitch together adjacent tables if possible|如果可能拼合相邻的表
Text Formatting Override Options|文本格式覆盖选项
Override font only|仅覆盖字体
Preserve alignment|保留对齐
Preserve tabs and indents|保留制表符和缩进
Preserve line spacing|保留行距
Preserve Formatting only preserves:|仅保留"保留格式"中的:
Font size|字体大小
Tabs and indents|制表符和缩进
Line spacing|行距
Alignment|对齐
Remove first paragraph indents|移除第一个段落的缩进
On new pages only|仅在新的页面上
At the start of each new document|在每个新建文档的开始
After empty lines and centered text|在空行和居中文本之后
Centered text only|仅居中的文本
Custom separator centering ignores indents|自定义的居中分隔符忽略缩进
Insert title as run-in head|插入标题到首行之前
Normal|正常
Uppercase|大写
Faked Small Caps|仿小型大写
Lowercase|小写
Only use title prefixes in updated links|在更新链接中仅使用标题前缀
Do not add title suffix to front matter documents|不添加标题后缀到"前置内容"文档
Do not add title prefix to front matter documents|不添加标题前缀到"前置内容"文档
Override title prefix separator for updated links:|覆盖更新链接中的前缀分隔符为:
Title Adjustments|标题调整
Do not add title prefix or suffix to documents:|不要添加标题的前缀或后缀到文档:
Some document types in the "Formatting" pane are set to use title prefixes or suffixes in their Title Settings (e.g. for auto-numbering). The options below provide extra control over how and where title prefixes and suffixes are used.|某些文档类型在"格式化"窗格对标题前缀或后缀进行设置(例如 自动编号).下面这些选项提供如何和在哪里使用标题前缀和后缀的额外控制.
Do not include title suffixes in updated links|更新链接时不包括标题后缀
The separator entered here replaces any whitespace that follows title prefixes in updated links. The title prefix separator is also used in the table of contents.|在这里输入的分隔符将替换更新链接的标题前缀后的任何空白.标题前缀分离符也适用于目录内容.
Update titles in document links with prefix and suffix settings|更新 Scrivener 链接的标题以及其前缀和后缀设置.
Prefix:|前缀:
Suffix:|后缀:
Title Prefix and Suffix|标题前缀和后缀
Title Prefix:|标题前缀:
Title Suffix:|标题后缀:
Faked Small Caps uppercases and reduces the font size of lowercase text in the compiled document (the preview shows plain uppercase text). "Real" small caps are only available for certain fonts (set via the Typography pane of the Font panel).|编译文档中的"仿小型大写" 是大写并按小写字体的大小进行缩小(预览显示为纯大写文本).“真正”的小型大写仅适用于特定的字体(通过排版窗格中的字体面板设置)
Choose the text case for title elements.|选择标题元素的文本大写.
If ticked, text following the title will be placed on the same line if possible in the final document.|如果勾选，最终文档中的文本会跟在标题后,它们会处在同一行.
Title Appearance|标题外观
To set the first few words of the main text in uppercase when the text starts a new section, enter a value below.|当开始一个新章节时,设置正文起始的一些单词大写,在下面输入一个数值.
Number of words to make uppercase:|转为大写的单词数:
(Maximum: 10)|(最大: 10)
Uppercase words starting a new section|新章节开始的单词大写
The following options are only applied if the document starts on a new page or section.|下面的选项仅影响到文档开始的新页面或章节上.
(Applied to the main text only. Not applied to documents set to "Compile As-Is".)|(仅应用到正文. 不能应用到设置了 "原样输出"的文档.)
Remove all hyperlinks|移除所有超链接
Convert multiple spaces to single spaces|转换多个空格转换为单个空格
Remove trailing whitespace from documents|移除文档中的尾随空格
Do not convert auto-number tags to numbers|不转换自动编号标记为编号
Delete struck-through text|删除带删除线的文本
Remove text color|移除文本颜色
Remove highlighting|移除高亮标记
Convert underlines to italics|转换下划线为斜体
Convert Markdown to bold and italics|转换 Markdown 为粗体和斜体
Straighten smart quotes|智能引号转直引号
Convert ellipses to triple periods|转换三句点为省略号
Rich Text Conversions|RTF 文本转换
Plain Text Conversions|纯文本转换
Convert linked images to embedded images|将链接图片转换为嵌入图片
Project Replacements are saved as part of the project and won't change when you switch between compile formats.|预设替换将作为当前项目的一部分保存,并且不会因为切换编译输出格式而发生变化.
Project Replacements|项目替换
Preset Replacements are saved as part of the current compile format and will change when you choose different formats from the "Format As" menu.|预设替换作为当前编译输出格式的一部分保存但是会在你由“格式化为”选择不同的编译输出格式时发生变化.
Preset Replacements|预设替换
Define words and phrases that should be replaced in the text during compile.|定义文本中将在编译中被替换的单词和短语.
Replacements|替换
Export or print your draft for submission or final formatting in a dedicated word processor.|使用专用文字处理器为提交或最终格式而导出或打印草稿.
Format As:|格式化为:
Compile For:|编译为:
Bookmarks|书签
Change Icon|改变图标
Commit Order|指定顺序
Keep cards arranged in binder order on a grid.|在网格中按文件篮的排列保持卡片的顺序.
Commit Freeform Corkboard Order|指定软木板自由版式的顺序
Start At:|开始于:
Order From:|排序按:
In freeform corkboard mode, the index cards do not represent the order of the associated documents as they appear in the binder. "Committing" the order will rearrange these documents in the binder to best match the order on the freeform corkboard depending on the ordering options selected below.|在软木板自由模式中,索引卡不能如文件栏中一样反映出关联文档的顺序.“指定”操作将重新排列文件篮中的这些文档,以实现和软木板自由版式中卡片的最佳的顺序匹配.
Corkboard|软木板
Hide Synopses|隐藏摘要
Outliner|大纲窗口
Scene Heading|场景标题
Action|动作
Character|角色
Parenthetical|辅助描写
Dialogue|对话
Transiton|转场
Shot|镜头
General Text|通常文本
General Text (Centered)|通常文本(居中)
[Tab] Scene Heading, [Enter] Action|[Tab] 场景标题, [Enter] 动作
Open PDF|打开 PDF
Other|其他
Go To|前往
Menu|菜单
Reveal in Binder|在文件栏中显示
Take Snapshot|创建快照
Lock Group View Mode|锁定组视图模式
Match Split Documents|匹配切分文档
Lock in Place|位置锁定
Loading|加载
Title and Synopsis|标题和摘要
Status|状态
Created Date|创建日期
Modified Date|修改日期
Words|字数
Characters|字符
Include In Compile|包括在编译中
Page Break Before|段前分页
Compile As-Is|原样编译
Target|目标
Target Type|目标类型
Total Words|总字数
Total Characters|总字符
Keywords|关键词
Total Target|总目标
Total Progress|总进度
Link|链接
Edit...|编辑...
Move To|移动到
New From Template|由模板新建
Open|打开
in Other Editor|使用 其他编辑器
